m, repeat_after, max_value
326, 1700005, 4318
327, 188495, 3643
328, 592659, 4122
329, 146372, 4262
330, 1571698, 4106
331, 2461274, 4548
332, 1602649, 4402
333, 945453, 4634
334, 5709101, 4586
335, 330455, 3812
336, 25664, 3553
337, 1142326, 4672
338, 3409247, 4678
339, 310234, 3964
340, 1173167, 4314
341, 2772709, 4951
342, 3501886, 4630
343, 62160, 3369
344, 3136938, 4636
345, 2098090, 4994
346, 5418205, 5216
347, 4717622, 5018
348, 1518003, 4542
349, 73621, 3846
350, 5582252, 5098
351, 656363, 4738
352, 3954875, 4618
353, 1034464, 4742
354, 271255, 4210
355, 165939, 4016
356, 528043, 5209
357, 217664, 4316
358, 555162, 5213
359, 217086, 4038
360, 1191342, 4622
361, 197623, 4327
362, 1579649, 4927
363, 1078182, 4568
364, 1942900, 5195
365, 1256139, 5178
366, 645190, 5226
367, 1373836, 5378
368, 348077, 4619
369, 3015159, 5358
370, 332538, 4892
371, 928692, 4678
372, 171069, 4685
373, 475857, 4534
374, 972343, 4834
375, 697277, 4506
376, 1698101, 5223
377, 996313, 4826
378, 866214, 5036
379, 187650, 5262
380, 212376, 4923
381, 1156790, 5392
382, 500736, 4442
383, 1658443, 5290
384, 1758494, 5348
385, 992055, 5132
386, 1711008, 5608
387, 732818, 4334
388, 147898, 4356
389, 581406, 5239
390, 778368, 5254
391, 1850451, 5654
392, 375775, 4701
393, 321425, 5290
394, 2021730, 5458
395, 1113706, 5462
396, 1320043, 4882
397, 491156, 5692
398, 1001562, 6103
399, 795250, 4971
400, 106495, 4618
401, 188253, 5414
402, 653449, 5043
403, 127634, 5218
404, 384211, 4985
405, 1870570, 4958
406, 320357, 5370
407, 314836, 4622
408, 868256, 5668
409, 263023, 4422
410, 2207786, 5294
411, 277458, 4415
412, 983340, 5606
413, 428278, 4902
414, 359203, 5710
415, 87831, 4198
416, 795388, 4929
417, 891761, 4925
418, 2511013, 5744
419, 297867, 4948
420, 247729, 5071
421, 545789, 4927
422, 387477, 4751
423, 969811, 5706
424, 247802, 5367
425, 284238, 5553
426, 607004, 4842
427, 339952, 5219
428, 618084, 5215
429, 481675, 5209
430, 114903, 4957
431, 180944, 5158
432, 218452, 5097
433, 1520346, 5327
434, 353208, 5218
435, 478981, 5739
436, 1030034, 5042
437, 564067, 5461
438, 518992, 5756
439, 2009501, 5633
440, 2109826, 5398
441, 331741, 4982
442, 912771, 5707
443, 55585, 4101
444, 2545168, 5806
445, 83326, 5028
446, 1006981, 5213
447, 958701, 5517
448, 369498, 5588
449, 2108309, 5666
450, 833545, 5724
451, 1691743, 5496
452, 380767, 5215
453, 12267383, 5868
454, 1389929, 5791
455, 2523069, 5906
456, 1234633, 5462
457, 531436, 5468
458, 199703, 5586
459, 684691, 5987
460, 4418202, 5906
461, 1623424, 5791
462, 156642, 6130
463, 4357516, 5942
464, 565532, 5714
465, 1013099, 5876
466, 856473, 6202
467, 4390673, 5840
468, 1288702, 5876
469, 808450, 5932
470, 1099186, 5876
471, 519012, 5752
472, 5234439, 6126
473, 6180992, 5962
474, 130060, 5752
475, 1582871, 6198
476, 4010144, 6122
477, 12374512, 6242
478, 9953934, 6238
479, 654295, 6275
480, 1293608, 5962
481, 2241294, 5816
482, 3489586, 6546
483, 3695937, 6103
484, 2621663, 6194
485, 2087868, 6346
486, 3848506, 6114
487, 3183421, 6418
488, 9999467, 6822
489, 4206742, 6620
490, 2802316, 6242
491, 1601986, 5948
492, 799283, 6725
493, 13909143, 6431
494, 15872190, 6428
495, 2371687, 6425
496, 2211468, 6391
497, 4921354, 6425
498, 7095894, 6391
499, 1884917, 6689
500, 2517207, 6988
500, 2517207, 6988
501, 9166674, 6418
502, 13325612, 6378
503, 2988441, 6794
504, 4235728, 6446
505, 17028517, 6428
506, 1845608, 6204
507, 4923032, 6466
508, 1370844, 6470
509, 23789310, 6800
510, 24076758, 6808
511, 12111722, 6746
512, 909472, 6458
513, 13821746, 6798
514, 33916716, 6724
515, 4691611, 7081
516, 23569474, 6724
517, 3246446, 6706
518, 33855506, 7252
519, 27560398, 7091
520, 1836721, 6850
521, 51935275, 7102
522, 7160931, 7062
523, 15613458, 6822
524, 58841666, 7204
525, 16819939, 6992
526, 2180136, 7024
